Bin_Center,Bin_edge,Image_1,Image_2,Image_3,Image_4,Image_5,Image_6
3117.5,3115,0,0,0,5,64,319
3122.5,3120,0,0,0,3,69,317
3127.5,3125,0,0,0,5,79,288
3132.5,3130,0,0,0,2,62,353
3137.5,3135,0,0,0,2,58,320
3142.5,3140,0,0,0,1,50,354
3147.5,3145,0,0,0,2,61,356
3152.5,3150,0,0,0,4,59,370
3157.5,3155,0,0,0,2,47,329
3162.5,3160,0,0,0,0,49,371
3167.5,3165,0,0,0,2,49,363
3172.5,3170,0,0,0,4,67,354
3177.5,3175,0,0,0,3,66,305
3182.5,3180,0,0,0,1,62,341
3187.5,3185,0,0,0,0,57,362
3192.5,3190,0,0,0,4,59,349
3197.5,3195,0,0,0,3,43,384
3202.5,3200,0,0,0,2,48,367
3207.5,3205,0,0,0,4,59,425
3212.5,3210,0,0,0,0,68,356
3217.5,3215,0,0,0,2,63,366
3222.5,3220,0,0,0,2,48,357
3227.5,3225,0,0,0,5,51,326
3232.5,3230,0,0,0,5,57,370
3237.5,3235,0,0,0,3,48,348
3242.5,3240,0,0,0,1,51,345
3247.5,3245,0,0,0,3,39,390
3252.5,3250,0,0,0,4,40,356
3257.5,3255,0,0,0,3,43,364
3262.5,3260,0,0,0,0,47,392
3267.5,3265,0,0,0,3,46,388
3272.5,3270,0,0,0,3,45,334
3277.5,3275,0,0,0,3,45,391
3282.5,3280,0,0,0,1,44,387
3287.5,3285,0,0,0,3,48,360
3292.5,3290,0,0,0,3,34,365
3297.5,3295,0,0,0,1,41,309
3302.5,3300,0,0,0,2,32,367
3307.5,3305,0,0,0,2,32,373
3312.5,3310,0,0,0,2,53,360
3317.5,3315,0,0,0,1,39,362
3322.5,3320,0,0,0,1,39,396
3327.5,3325,0,0,0,0,50,363
3332.5,3330,0,0,0,2,48,395
3337.5,3335,0,0,0,2,41,378
3342.5,3340,0,0,0,7,44,394
3347.5,3345,0,0,0,2,40,357
3352.5,3350,0,0,0,3,37,411
3357.5,3355,0,0,0,2,37,399
3362.5,3360,0,0,0,2,46,407
3367.5,3365,0,0,0,2,42,380
3372.5,3370,0,0,0,4,29,396
3377.5,3375,0,0,0,0,41,368
3382.5,3380,0,0,0,3,34,384
